Work Code,Description,SEC Code,Unit,Min Price,Avg Price,Max Price,Occurrences
BAO-HIEM-CONG-0001,Bảo hiểm công trình,SEC-00,pcs,1000000.00,1000000.00,1000000.00,3
NHA-VAN-PHONG-0001,Nhà văn phòng 辦公棟,SEC-00,lot,48816747490.37,48816747490.37,48816747490.37,6
TOAN-LAO-ONG-0002,An toàn lao động,SEC-00,pcs,1000000.00,1000000.00,1000000.00,3
VAN-PHONG-CONG-0003,Văn phòng công trường,SEC-00,pcs,1000000.00,1000000.00,1000000.00,3
SAN-LAP-MAT-0004,San lấp mặt bằng,SEC-01-01,pcs,1000000.00,1000000.00,1000000.00,3
MONG-MAY-0005,Bệ móng máy,SEC-01-03,pcs,1000000.00,1000000.00,1000000.00,3
LAN-CAN-INOX-0006,Lan can inox 304,SEC-03,pcs,1000000.00,1000000.00,1000000.00,3
THANG-MAY-NGUOI-0007,Thang máy 8 người,SEC-04,pcs,1000000.00,1000000.00,1000000.00,3
BAI-0013,Bãi đỗ xe ô tô,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
CANH-QUAN--0002,Hồ cảnh quan 1 一號景觀湖,SEC-05,lot,601527506.28,601527506.28,601527506.28,6
CANH-QUAN--0003,Hồ cảnh quan 2 二號景觀湖,SEC-05,lot,718480540.80,718480540.80,718480540.80,6
CANH-QUAN-0007,Cảnh quan 景觀,SEC-05,lot,8523253900.00,8523253900.00,8523253900.00,6
CAY-XANH-CONG-0008,Cây xanh công viên,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
CONG-CHINH-0012,Cổng chính,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
HANG-RAO-0004,Hàng rào 圍墻,SEC-05,lot,20990455284.60,20990455284.60,20990455284.60,6
HANG-RAO-BAO-0011,Hàng rào bảo vệ,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
THONG-THOAT-NUOC-0005,Hệ thống thoát nước mưa 雨水排水系統,SEC-05,lot,38093172500.00,38093172500.00,38093172500.00,6
UONG-NOI--0006,Đường nội bộ 內部道路,SEC-05,lot,14852887980.12,14852887980.12,14852887980.12,6
UONG-NOI-TONG-0010,Đường nội bộ bê tông,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
VIA-LAT-GACH-0009,Vỉa hè lát gạch,SEC-05,pcs,1000000.00,1000000.00,1000000.00,3
